date,current_logret,mu,sigma,sigma_model,drift,realized_sigma_20d
2010-10-20,-0.007527424,0.020661665,0.0106096435,0.004020146,0.02818909,0.010057031131799793
2010-10-21,0.019762949,-0.007267088,0.010514823,0.003984217,-0.027030036,0.010899080174202628
2010-10-22,-0.005827023,0.0065051606,0.011339942,0.0042968667,0.012332184,0.010807680377829051
2010-10-25,0.006531487,-0.0049142796,0.011409537,0.004323237,-0.011445766,0.010882464123960956
2010-10-26,-0.003905518,-0.011851056,0.010769629,0.004080767,-0.007945538,0.010923814699776362
2010-10-27,-0.011468022,-0.002309698,0.011348982,0.004300292,0.009158324,0.011148544189536782
2010-10-28,-0.004158169,0.0045114616,0.010689307,0.0040503317,0.008669631,0.011087242887850032
2010-10-29,0.004997761,0.016390126,0.009868429,0.0037392892,0.011392364,0.010245048298976404
2010-11-01,0.016456499,0.0009842732,0.010875187,0.0041207643,-0.015472224,0.010947980030422374
2010-11-02,0.000237027,0.007290293,0.010646728,0.004034198,0.0070532663,0.010939584367193698
2010-11-03,0.006759259,0.020865092,0.010784965,0.004086578,0.014105836,0.010945109073497246
2010-11-04,0.019498589,-0.0012035051,0.011127441,0.004216347,-0.020702094,0.011488444240788782
2010-11-08,-0.00136991,0.0032800331,0.012039246,0.004561843,0.004649943,0.01146681812949127
2010-11-09,0.004508981,-0.004619066,0.011334099,0.0042946525,-0.009128047,0.011454013993842244
2010-11-10,-0.00411054,-0.013198022,0.011214525,0.0042493446,-0.009087482,0.011347065432221188
2010-11-11,-0.013063621,-0.01994355,0.010265084,0.0038895875,-0.0068799304,0.0105658862632872
2010-11-12,-0.019991062,0.008281555,0.010808448,0.004095476,0.028272618,0.01129709732798264
2010-11-15,0.008193136,-0.021396574,0.010565999,0.0040036086,-0.029589707,0.010639858455518651
2010-11-16,-0.021949123,0.0026606387,0.0118525205,0.00449109,0.024609761,0.011747582773250156
2010-11-18,0.001685024,-0.01879281,0.011729847,0.004444607,-0.020477833,0.011629488079210649
2010-11-19,-0.01825252,0.019244663,0.012250591,0.0046419245,0.037497185,0.012215849245568327
2010-11-22,0.020117852,-0.012218583,0.0122837275,0.0046544806,-0.032336432,0.012247467732638502
2010-11-23,-0.012599844,-0.01113694,0.012119073,0.004592091,0.0014629043,0.012486378911023707
2010-11-24,-0.011694553,-0.011047928,0.012292713,0.004657885,0.0006466266,0.012565392754769783
2010-11-25,-0.011315538,-0.008330966,0.012419533,0.004705939,0.00298457,0.012732500992963244
2010-11-26,-0.008275851,0.012849754,0.012485638,0.0047309874,0.021125605,0.01263214058163432
2010-11-29,0.013478039,0.005785515,0.012717958,0.0048190164,-0.007692523,0.013096482515054466
2010-11-30,0.005593281,0.017469574,0.012882578,0.0048813936,0.011876293,0.013112304672383474
2010-12-01,0.016611178,0.008262428,0.012096951,0.004583708,-0.00834875,0.013123372990794593
2010-12-02,0.008486143,-0.003800643,0.012991777,0.0049227704,-0.012286786,0.013302532146214126
2010-12-03,-0.003148887,0.0006725023,0.013344469,0.0050564106,0.0038213893,0.013186876704987303
2010-12-06,-9.17e-05,-0.0016964632,0.011719776,0.0044407914,-0.0016047149,0.012248603380773599
2010-12-07,-0.002623522,-0.011930199,0.011919179,0.004516348,-0.009306678,0.012246480297161882
2010-12-08,-0.01226414,-0.023063835,0.01256344,0.0047604674,-0.010799697,0.012320941547037924
2010-12-09,-0.023513995,0.015230584,0.012878737,0.0048799384,0.03874458,0.013128817393013675
2010-12-10,0.015631989,0.0077884286,0.01384943,0.0052477475,-0.00784356,0.013669600273299734
2010-12-13,0.008550805,0.0064212694,0.012754184,0.004832743,-0.0021295357,0.013263842939840124
2010-12-14,0.006151043,-0.008914378,0.012894314,0.00488584,-0.0150654195,0.013194035137935798
2010-12-15,-0.008752767,0.008558934,0.012219326,0.0046300776,0.0173117,0.012423529922907081
2010-12-16,0.009534733,-0.00064837135,0.011735057,0.0044465815,-0.010183103,0.012628845904713002
2010-12-20,-0.000285848,0.008204504,0.011510196,0.0043613785,0.008490353,0.011912194814251076
2010-12-21,0.008972515,-0.0030170265,0.010892112,0.0041271774,-0.011989541,0.011183543043335369
2010-12-22,-0.002711713,-0.00026842894,0.010366041,0.003927842,0.0024432843,0.010813269452462896
2010-12-23,-0.000735499,0.005108958,0.01006631,0.0038142693,0.005844457,0.010438421574167536
2010-12-24,0.005270384,-0.0017823048,0.009600865,0.0036379052,-0.0070526893,0.010063583322177732
2010-12-27,-0.002248184,-0.0006228489,0.009010652,0.0034142653,0.0016253345,0.009833780362037338
2010-12-28,-0.000350188,0.011474329,0.009278342,0.0035156969,0.0118245175,0.009470761635381835
2010-12-29,0.01067499,0.00610671,0.00932455,0.0035332057,-0.004568279,0.009655441353314087
2010-12-30,0.00682445,0.006173623,0.009051546,0.0034297607,-0.0006508266,0.009089109943305253
2010-12-31,0.005336555,0.004611253,0.009063653,0.0034343482,-0.0007253021,0.008982308493739282
2011-01-03,0.003758532,-0.0017437018,0.008825079,0.0033439489,-0.0055022333,0.00894666476163931
2011-01-04,-0.001828682,-0.011162055,0.009394715,0.0035597922,-0.009333372,0.008969862909315982
2011-01-05,-0.010886657,-0.006092678,0.009302864,0.0035249884,0.0047939788,0.009341233264421515
2011-01-06,-0.005202795,-0.024854258,0.009540016,0.0036148487,-0.019651463,0.008944230882532446
2011-01-07,-0.024037249,-0.024144689,0.008871214,0.0033614305,-0.000107442065,0.009020793168725049
2011-01-10,-0.024299564,-0.0018509144,0.010196789,0.0038637097,0.022448648,0.010018421004923334
2011-01-11,-0.0015195,0.019157033,0.009855911,0.003734546,0.020676535,0.009773080643730881
2011-01-12,0.018791396,-0.017610863,0.010765068,0.0040790387,-0.03640226,0.010650748030088844
