date,split,member_count,price_count,valid_sigma_count,valid_lambda_20d_count,valid_lambda_60d_count
2012-09-11,train,50,44,42,42,42
2012-09-12,train,50,44,42,42,42
2012-09-13,train,50,44,42,42,42
2012-09-14,train,50,44,42,42,42
2012-09-17,train,50,44,42,42,42
2012-09-18,train,50,44,42,42,42
2012-09-20,train,50,44,42,42,42
2012-09-21,train,50,44,42,42,42
2012-09-24,train,50,44,42,42,42
2012-09-25,train,50,44,42,42,42
2012-09-26,train,50,44,42,42,42
2012-09-27,train,50,44,42,42,42
2012-09-28,train,50,44,42,42,42
2012-10-01,train,50,44,42,42,42
2012-10-03,train,50,44,42,42,42
2012-10-04,train,50,44,42,42,42
2012-10-05,train,50,44,42,42,42
2012-10-08,train,50,44,42,42,42
2012-10-09,train,50,44,42,42,42
2012-10-10,train,50,44,42,42,42
2012-10-11,train,50,44,42,42,42
2012-10-12,train,50,44,42,42,42
2012-10-15,train,50,44,42,42,42
2012-10-16,train,50,44,42,42,42
2012-10-17,train,50,44,42,42,42
2012-10-18,train,50,44,42,42,42
2012-10-19,train,50,44,42,42,42
2012-10-22,train,50,44,42,42,42
2012-10-23,train,50,44,42,42,42
2012-10-25,train,50,44,42,42,42
2012-10-29,train,50,44,42,42,42
2012-10-30,train,50,44,42,42,42
2012-10-31,train,50,44,42,42,42
2012-11-01,train,50,44,42,42,42
2012-11-02,train,50,44,42,42,42
2012-11-05,train,50,44,42,42,42
2012-11-06,train,50,44,42,42,42
2012-11-07,train,50,44,42,42,42
2012-11-08,train,50,44,42,42,42
2012-11-09,train,50,44,42,42,42
2012-11-12,train,50,44,42,42,42
2012-11-15,train,50,44,42,42,42
2012-11-16,train,50,44,42,42,42
2012-11-19,train,50,44,42,42,42
2012-11-20,train,50,44,42,42,42
2012-11-21,train,50,44,42,42,42
2012-11-22,train,50,44,42,42,42
2012-11-23,train,50,44,42,42,42
2012-11-26,train,50,44,42,42,42
2012-11-27,train,50,44,42,42,42
2012-11-29,train,50,44,42,42,42
2012-11-30,train,50,44,42,42,42
2012-12-03,train,50,44,42,42,42
2012-12-04,train,50,44,42,42,42
2012-12-05,train,50,44,44,44,44
2012-12-06,train,50,44,44,44,44
2012-12-07,train,50,44,44,44,44
2012-12-10,train,50,44,44,44,44
2012-12-11,train,50,44,44,44,44
2012-12-12,train,50,44,44,44,44
2012-12-13,train,50,44,44,44,44
2012-12-14,train,50,44,44,44,44
